"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 582","","It took two months to read the Ramcharitmanas."
"Highlight (Yellow)","Location 600","","“Obtaining a human body is rare, but through taking the name of Hari unfortunate souls are purified. O brother! Tulsi says that there is no one like Jagadamba (the Divine Mother) in all the three worlds.”"
"Highlight (Yellow)","Location 701","","Mother Divine has appeared to bless the family because they look after you, care for you with love, Sadhviji. Maa Annapurna has blessed them."
"Highlight (Yellow)","Location 709","","My life since Swamiji’s arrival has only been filled with miracles after miracles."
"Highlight (Yellow)","Location 802","","‘Well, not as happy as you are here. All worldly relationships come with their fair share of stress… and no you wouldn’t have had any children if that’s what you are thinking.’"
"Highlight (Yellow)","Location 814","","He wasn’t just my Guru. He was like God Himself, moving about in the world,"
"Highlight (Yellow)","Location 837","","“That’s all we can see for now,” as if some day, with more powerful telescopes in orbit beyond the moon, we might be able to see it all."
"Highlight (Yellow)","Location 840","","The speed of light itself limits us to a kind of bubble of observation in space-time, beyond which we simply cannot perceive. No messages can reach us from beyond that bubble, and none can be sent. But that does not mean there is nothing beyond;"
"Highlight (Yellow)","Location 849","","The Crab nebula represents the remains of a supernova explosion observed by Chinese astronomers in A.D. 1054, but the actual explosion took place about 3000 B.C."
"Highlight (Yellow)","Location 850","","the stars in them may be separated by thousands of years, as we measure from here on earth. Space and time, bound together, inevitably limit and distort the validity of what we can say about the universe. But these dimensions do not apply to the Lord. In the Hindu scriptures we find the provoking statement that this vast cosmos is one thought of the Lord. That is as long as our universe lasts: one thought."
"Highlight (Yellow)","Location 856","","the one firmly established in the mode of goodness, there are no separate individual embodied souls but simply one supreme soul. For such a person the boundaries of time and space disappear. That is precisely how I have seen him operate on countless occasions."
"Highlight (Yellow)","Location 984","","Dogs are never attached to their masters the way humans are attached to their people and pets. Dogs don’t worry about the future or brood over the past. They have no ego. Absolutely no ego at all. So, they love back whoever offers them love and food."
"Highlight (Yellow)","Location 1011","","no one is born. No one goes away, no one moves. It’s all one big illusion. A trace of every living entity is present in every other. This is the body of Purushottam, Bhagavān."
"Highlight (Yellow)","Location 1055","","If you remember, I had asked you to give me ten minutes to rest up in the guest room, which had also been your mother’s room when she was alive. Well, she was still in that room and wished to speak to me. All her life she had had myriad worldly desires, but they hadn’t brought her any happiness. She didn’t want that for you."
"Highlight (Yellow)","Location 1079","","I felt such gratitude for my beautiful Guru, whose heart was tender like a child and who gave away everything he had for the happiness and comfort of others."
"Highlight (Yellow)","Location 1081","","This incident also forever changed my outlook on death. No one was really dying, they were all there on the other side, in a prison of their making. Death was not a release as I had thought (and countless others think), it was merely another trap for the ones who didn’t know how to live. I also now laugh at the idea of all those people seeking moksha in the other life. It wasn’t possible, not without achieving liberation from one’s negative tendencies while alive."
"Highlight (Yellow)","Location 1086","","Women’s Liberation Group (WLG) on Wildr. Having seen how tough mamma’s life had been, I realized that women were often neglected and neglect themselves even in the most supportive families. They spent their lives looking after everyone but never really took out the time to embark on their own spiritual quest until very late in life."
"Highlight (Yellow)","Location 1097","","I felt as if time was running out for me as well, I had to learn to live, truly live before I died, else nothing good would come from my passing either. I realized then more than ever that my Guru was my salvation. And death that seemed like a sweet, peaceful sleep was in reality a lengthy nightmare for the ignorant."
"Highlight (Yellow)","Location 1101","","The scriptures were right, only the holy ones could show the path to dharma and liberation. There was no other way."
"Highlight (Yellow)","Location 1181","","For by now, I knew that people on the other side were well and alive. The ones who knew how to yoke their consciousness to Bhagavān, neither space nor time could bind them. They were the awakened ones."
"Highlight (Pink)","Location 1183","","a life without Bhagavān in it was only endless suffering, there was no peace for them even in death. As for the awakened, realized souls, they were free from birth, death and decay."
"Highlight (Yellow)","Location 1308","","‘Is this what you meant in 2016 when you said in a different life, I’d have had to undergo long chemo sessions, Swamiji?’ ‘Lymphoma, cancer of the lymph nodes, is what it’s called,’ he said nodding, ‘but there’s nothing to worry about now, Bhikkuram, all’s well with Her grace.’ The heaviness and pain in my arm took a few months to disappear. I still can feel the discomfort sometimes but mostly it’s fine."
"Highlight (Yellow)","Location 1330","","I went to Sri Hari and said through a haze of tears, ‘If you are okay with me looking like this, then I’m okay looking this way.’ Bhagavān’s eyes brimming with love, brought me peace and an acceptance that I didn’t think was possible so soon."
"Highlight (Yellow)","Location 1467","","can say with certainty that this business with the chapati had mystified me even more than the other hair-raising feats I’ve seen Swamiji do. To have such authority over the nature of things, tangible and intangible, so as to command them to change their course at such a micro level was beyond my comprehension. Try as I may, I couldn’t make sense of the mysterious forces that were at his beck and call. For how could one possibly make a chapati in the world rise by commanding it so?"
"Note","Location 1470","","LOA"
"Highlight (Yellow)","Location 1482","","Ramakrishna Paramahamsa, for instance, awakened the Goddess Kali.’"
"Highlight (Yellow)","Location 1708","","November 26, 2019, and has gone on well into the New year. Thousands are homeless"
"Highlight (Yellow)","Location 1713","","Swamiji was just finishing replying to her when I asked, ‘So, will you send the rain there?’ He looked up from his laptop and just smiled. The next day, Catherine wrote in saying that most unexpectedly it rained in that region and it calmed the fire down. People had been hoping for rain for weeks and it hadn’t happened."
"Highlight (Yellow)","Location 1843","","“Happiness is also an art, and it can be learned.”"
"Highlight (Yellow)","Location 2314","","The truth is, to be close to Bhagavān, you’ve to be a child."
